description,temperature_in_Celcius,humidity,pressure,wind_speed,wind_direction,clouds,rain,snow,id_ville,id_date
légère pluie,"32,27",58,1011,"5,66",N,40,"0,13",0,6,7
ciel dégagé,"35,96",36,997,"2,57",SW,0,0,0,4,7
nuageux,"19,2",44,1010,"5,47",W,68,0,0,3,7
peu nuageux,"26,64",89,1014,0,N,20,0,0,5,7
ciel dégagé,"25,91",32,1012,"1,34",E,0,0,0,1,7
couvert,"18,13","18,13",1016,"6,17",S,100,0,0,2,7
ciel dégagé,"21,04",49,1013,"0,45",S,0,0,0,1,1
ciel dégagé,"27,27",78,1013,"1,54",NE,0,0,0,6,1
partiellement nuageux,"10,86",63,1016,"1,47",N,27,0,0,3,1
nuageux,"31,96",70,998,"4,12",S,75,0,0,4,1
partiellement nuageux,"13,91",75,1019,"3,58",N,35,0,0,2,1
nuageux,"31,29",68,1014,"4,12",SE,75,0,0,5,1
partiellement nuageux,"30,27",70,1015,"2,57",SW,40,0,0,6,2
couvert,"20,31",48,1018,"4,99",S,100,0,0,3,2
ciel dégagé,"28,74",24,1003,"2,24",S,0,0,0,1,2
ciel dégagé,"35,96",44,996,"4,12",W,0,0,0,4,2
peu nuageux,"27,34",84,1014,"2,06",SE,20,0,0,5,2
couvert,"12,1",77,1010,"5,14",S,100,0,0,2,2
partiellement nuageux,"21,98",41,1014,"1,41",N,33,0,0,3,9
couvert,"38,96",50,998,"4,12",NW,98,0,0,4,9
ciel dégagé,"25,27",88,1013,"1,03",N,0,0,0,6,9
ciel dégagé,"20,8",25,1004,"3,63",SW,0,0,0,1,9
couvert,"11,27",86,1013,"6,17",S,100,0,0,2,9
nuageux,"29,38",75,1010,"3,09",SE,75,0,0,5,9
ciel dégagé,"33,96",55,997,"2,57",W,0,0,0,4,8
partiellement nuageux,"29,27",70,1010,"3,6",NE,40,0,0,6,8
pluie modérée,"17,53",73,1009,"2,03",S,100,"1,74",0,3,8
ciel dégagé,"29,29",33,1003,"1,79",NW,0,0,0,1,8
couvert,"16,34",74,1021,"4,12",S,100,0,0,2,8
ciel dégagé,"27,16",88,1009,0,N,0,0,0,5,8
ciel dégagé,"37,96",41,996,"5,14",W,0,0,0,4,3
couvert,"16,16",86,994,"4,26",S,100,0,0,3,3
peu nuageux,"16,75",71,1017,"0,89",N,20,0,0,1,3
nuageux,"24,27",94,1011,"0,51",E,75,0,0,6,3
ciel dégagé,"13,31",83,1020,"2,06",S,0,0,0,2,3
nuageux,"29,68",74,1008,"3,6",W,75,0,0,5,3
légère pluie,"22,87",54,1010,"3,6",N,45,"0,24",0,1,4
peu nuageux,"32,27",58,1009,"5,14",E,20,0,0,6,4
ciel dégagé,"32,96",55,995,"4,12",S,0,0,0,4,4
légère pluie,"14,75",88,995,"1,92",N,83,"0,87",0,3,4
couvert,"24,48",57,1014,"0,89",W,100,0,0,2,4
peu nuageux,"27,25",88,1011,"0,45",N,11,0,0,5,4
ciel dégagé,"17,44",67,1018,"1,34",SE,4,0,0,1,6
peu nuageux,"30,27",66,1015,"2,06",ENE,20,0,0,6,6
pluie modérée,"22,92",48,1014,"6,58",S,80,"1,54",0,3,6
couvert,"39,96",31,993,"4,12",NW,96,0,0,4,6
ciel dégagé,"14,77",84,1015,"1,54",NW,0,0,0,2,6
peu nuageux,"28,31",71,1012,"6,71",ENE,20,0,0,5,6
ciel dégagé,"13,07",84,1014,"2,06",S,0,0,0,2,5
peu nuageux,"28,31",74,1011,"6,71",ENE,20,0,0,5,5
ciel dégagé,"36,96",53,994,"6,17",NW,6,0,0,4,5
nuageux,"25,27",88,1016,"2,57",S,75,0,0,6,5
ciel dégagé,"16,58",56,1014,"0,89",SE,9,0,0,1,5
couvert,"23,31",72,1011,"1,79",ENE,100,0,0,3,5
nuageux,"23,27",94,1016,"1,03",S,75,0,0,6,10
ciel dégagé,"17,65",53,1013,"0,45",SW,1,0,0,1,10
couvert,"18,21",63,1012,"4,94",N,94,0,0,3,10
peu nuageux,"27,53",74,1010,"5,14",E,20,0,0,5,10
couvert,"12,94",79,1016,"2,57",WSW,100,0,0,2,10
ciel dégagé,"37,96",44,994,"5,14",N,0,0,0,4,10
nuageux,"24,27",83,1014,"1,54",NE,75,0,0,6,11
légère pluie,"28,53",41,1005,"2,24",N,41,"0,18",0,1,11
ciel dégagé,"33,96",62,997,"2,06",WSW,0,0,0,4,11
peu nuageux,"26,64",87,1007,0,N,20,0,0,5,11
ciel dégagé,"21,57",54,1017,"2,57",N,0,0,0,2,11
couvert,"15,31",73,1009,"1,86",SSE,100,0,0,3,11
ciel dégagé,"16,78",62,1022,"2,06",NNW,0,0,0,7,12
nuageux,"23,27",88,1015,"2,57",N,75,0,0,6,12
nuageux,"16,56",71,1021,"2,57",SSW,75,0,0,2,12
orage,"30,19",72,1008,"3,09",W,100,0,0,5,12
pluie modérée,"12,53",93,1005,"1,07",S,100,"3,28",0,3,12
nuageux,"35,96",59,997,"2,57",SE,76,0,0,4,12
partiellement nuageux,"22,03",48,1017,"0,45",N,38,0,0,1,12
